SAE,AAVE
"I asked for two wings, and guess what? Popeyes took it upon themselves to throw in the box one big assdry breast, and a wing
","I asked for 2 wings and guess what Popeyes took it upon themselves to throw in the box one big assdry breast and a wing
"
"Saying you have a girl in the club is like speaking Spanish!Those hoes do not hear that
","Saying you got a girl in the club is like speaking SPANISH!!!!!These hoes don't hear that
"
"I agree, but the finished product is always dope. You have got it. I will try, brother,brother. Love on the love
","I agree, but the finish product is always DOPE! you got it."" I try brobro... Love on the love
"
"We are headed to see Disney on Ice. My niece is so excited! She won't stop saying now Mickey, Minnie, Daisy, and Donald Duckare going to say 'hi' to her.
","Headed to see Disney on Ice ... My niece is so excited !She wont stop saying how Mickey, Minnie, Daisy, and Donald Duckgonna say hi to her
"
"I realized that I was very different from the normal type a long time ago
","I knew the i was cut from was hella dif from thenorm a long time ago...
"
"This ladies' McDonald's bag ripped and fell onto the sidewalk. All she can do is look puzzled and try to clean itup while birds flooded to it.
","This Lady McDonald's bag ripped ad fell onto the sidewalk&all she can do was look puzzled and try to clean itup.while birds flooded to it
"
"Too many Peter Gunz's in the world... Marry the side bitch? It's like riding on three car rims
","Too many Peter Gunzs in the World... Marry the Side Bish? It'slike riding on 3 rims
"
"There's nothing worse that running out of your favorite lotion and needing to use one you don't like.It has a stronger perfume smell than anything else.
","Running out on your favorite lotion and forced to use the lotionwith the strongest perfume fragrance
"
"There is no fucking way \""AsL\"" means \""As Hell.\"" I refuseto think this is right
","THERE IS NO FUCKING WAY ""AsL"" mean ""As Hell"" I refuseto think this is right!
"
"I can't love these hoes, they make me weak, and I can't trust thesehoes because these hoes are freaks
","I Can't Love These Hoes They Make Weak , & I Can't Trust TheseHoes Cause These Hoes FREAKS!!
"
"Plans have definitely changed tonight. It will be dedicated to Bey. I will betuned into Opera and HBO on the TV
","Plans definitely changed tonight will be dedicated to Bey I will betuned into Opera and HBO
"
"Let me sign this contract!! I'm the Chief Executive Officer of my own record label! I can sign anyone including mysel
","Sign Me!! im the C.E.O of My Own Record label!  .. iCan Sign Niggas and Myself!
"
"It is Thursday. So, nobody has time for Popeye's and their non- Monday through Wednesday special menu prices. Laugh out loud. Monday through Wednesday special menu prices. Laugh out loud.
","Its thursday soo ummm Aint nobody got time for Popeyes and that nonmon-weds. Special Menu prices ...lol
"
"Why does her birthday have to be tomorrow? All I need right now is my bed.I don't believe in birthdays
","Why the fuck is Senai bday tomar? My bed is the only thing I need right now""hedont believe in bdays lls
"
"That doesn't count if you work from 9:00AM to 5:00PM, because we are all struggling to keep working past10:00PM on a school night
","dat don't count if u gotta 9 to 5...cuz we all struggling to stay work past10 on a school nite
"
"The Dallas Cowboys' season is over.  Their corners are getting cooked like lamb gyro meat on that poleunder that 300 degree lamp
","THE COWBOYS SEASON OVER THEY CORNERS GETTIN COOKED LIKE LAMB GRYO MEAT ON THAT POLEUNDER THAT 300 DEGREE LAMP!!
"
"I have a new girlfriend who is so nice. I miss her so much.I'll see her soon for sure
","jus got a new bitch she niccceee""I miss you so much, I'll seeyou later "" fo sho
"
"I'm about to watch the game after getting drunk on tequila, so you know I will bethe loud guy laughing!  Ha, ha
","I'm bout to watch game off this tequila so u know imma bethe loud nigga laughing! Lol
"
"I'm going to a Washington Wizards game soon, and I am upset that Randy Whittman and Sam Cassell arestill on the team. They are terrible
","Im goin to a wizards game real soon and slap randy whittman and sam cassel thefuck out this roster terrible
"
"The 49ers are going to get some momentum back with this.I have seen those actions from white people before.
","This is fuck shit dats gonna get 49ers some wind back...Iseen these liteskin tricks before!
"
"All the middle class people will buy that same model of Benz.By the end of the year they will, I bet
","*sigh* every middle class nigga gonna get dat base model of BenzCLA later this year watch..m
"
"How do I convince another that their relationship should be a “secret” and have the other person agree, though? I’m confused.
","how do 1 convince another that their RS should be a ""Secret"" and the otherperson agree tho??? im confused
"
"I dislike so many of the Black men that work downtown because they are sofucking lame as a whole
","I dislike so many of the Black Men that work downtown cuz they sooofucking lame as a whole.
"
"All the women in my life have stopped speaking to me. Even my mother and grandmother. They aren't speaking to me either. Women are terrible
","Females blowin my life lls my mova aint speakin to me and my grandmovaaint speakin to me,,,females terrible
"
"That black man, John, was just trying to see if he can do it every night he steps on thefloor. He could have had 50
","that nigga john wall ballin jus tryin see if he can do it ere nite ye step on thefloor he could had 50
"
"There is no amount of money or a job too great that would make it worth it.I can't believe that's how they are acting
","money, career, etc don't knock the lame out a nig...I jus see em andshake my head down here
"
"You don't have to pay such a high price for help with your taxes. She is qualified.She went to school and has a degree
","u aint gotta pay dat high ass price if u use (she like a Master in Taxcuz her degrees say so)
"
"10 men... you are going to fight 10 men for your man... Suicide.\""I said the same thing
","10 niggas.... You gone fight 10 niggas for yo nigga.. Suicide""I Said The Sam Thing
"
"I need to stop letting people eat at my house. Once you feed a squirrel they always come back.
","I Need To Stop Letting People Eat Out My House. Once You Feed ASquirrel They always Come Back.
"
"I know I'm not ugly but damn! Can a bitch get some type of affection or no?
","I Know I'm Not Ugly But DAMN! Can a Bitch Get SomeType Of Affection Or Nah?
"
"I had to complain to my bank a lot to get my $20 back.They were being really difficult
","The bitching I did 2 my bank to get 20 bucks put back into my accountwas petty as fuck lol
"
"Beloved Lavette, in the love of Christ, I'm suggesting that you check your spiritual temperature, because you're coming across as fake and judgmental
","Beloved Lavette in the love of Christ, I'm suggesting that you check your spiritual temp because yourcoming off fake and judgemental.
"
"So I picked up a telemarketer call and the first words out of my mouth were “Now, see? Don’t youwish you stayed in college?”
","Sooo I picked up a Telemarketer call and 1st words out my mouth was ""now see don't chuwish u stayed in college?""
"
"You should sit down and stop doing what you are doing before I hurt you. I make more money than she does, and I do not have any reason to resent that. You should suck on a penis
","Bitch sit ur ass down somewhere b4 I make u drink ur own blood I make more money then her I haveNO REASON 2 HATE! SUCKaDICK
"
"It's just like I predicted. He noticed my bag. I was so confused because he said I should get out
","aye JUST like i predicted...he say he noticed my bag andsaid ""Gomab"" i was confused
"
"Everything I have, I am grateful for it all. My family, friends, my life, love.. and this list will keep going
","everything I have. I am greatful for it all. My family, friends, my life, love.. and thislist will keep going 
"
"If you're going to send a text message, please make sure you send more than just one word! I don't need a message with less than five words!You can keep that word to yourself.
","people send those one word text messages. If it is less than 5 words then keep itto yourself lol ;-) 
"
"I only know a few zetas who are cute and slim. That's all I can think of right now. That makes a little bit of sense.
","I only know a small hand full of cute(and slim) zetas too...so that rs between thetwo makes total sense lowkey
"
"Texting and laughing with an old friend. I missed him so much. Glad to know that he is happyand in a good, faithful relationship.
","Texting And Laughing With A Old Friend I Missed Him So Much Glad To Know That He Is HappyAnd In Goof,Faithful Relationship ❤❤
"
"What I also see are vacation pictures of clearly the same place, but no pictures postedtogether (I've done it)
","What i also seen is Vacay pix of clearly the same place but NO pix postedtogether (ive dont it lbs)
"
"Mogs is going to be mad but I don't remember Mike ever cooking this well.This has lasted so long.
","mogs gonna be mad but yes...I don't remember Mike cooking at this kind of efficiency overthis long of a stint...
"
"Winter this year hasn't been too bad until now. It is so cold outside
","Chiaaaaa hiver de cet annee la bougo des faoncon il neige pas la cecome sa il fait froid
"
"I don't know who blackmailed the Pope but it must been some guys with a lot of money and powerin the word with a lot of evidence.
","I don't know who blackmailed the Pope but it musta been some guys with big money and powerin world with crazy evidence.
"
"The fucked up thing about religion is that it is based on interpretation and people's intentionsare often biased and questionable. 
","The fucked up thing about religion is that it is based on interpretation, and people's intentionsare often biased & questionable.
"
"These children, are the children of parents whose parents were on drugs, and even though I have professional problem solving experience, I don't knowhow to begin to help them
","These Babies are the Crack Babies Babies...and even my professional problem solving ass don't knowwhere to begin 2 help
"
"Hello, is it possible for me to review your service and how it works on Global System for Mobilesphones like the Nexus 5?
","Hello is it possible for me to review your service on and how will it works on GSMphones like the Nexus 5
"
"In Wisconsion with my software program developers and military enlisted men.  Oh it feels great to be the coolest guy in the building laughing out lou
","In Wisc with my Geeky Developers and DBAs...awwwwh feel good 2 be the coolestguy in the building lol
"
"Are you ever on the train and you see someone who you believe you would have to punch if a fightstarted? No? Okay, never mind
","U eva on train and your eyes lock on the 1 person u know u gotta steal on 1st if shitbroke out? Naw? Ok nvm
"
"Hello, fellow Asshole Greeks, what's the name of the Iota Founderthat became a Nupe again
","Hell Fellow Asshole greeks, What's the Name of the Iota Founderthat became a Nupe again?
"
"Hello fellow fraternity brothers, what's the name of the Iota Founder that became a Kappa Alpha Psi member again
","Hey Fellow Asshole greeks, What's the Name of the Iota Founderthat became a Nupe again?
"
"I'm laughing, Chaz was too funny in that last skit, and were the pillows supposed tobe, like, two butt cheeks? That's funny
","Lol Chaz was too funny in that last skit and were the pillows supposed tobe like 2 bootycheeks? Lol
"
"I see people post on their page and it shows up in my timelineand I get alarmed
","I see ppl post on they page and it show in my TLand I get freaked out.
"
"But to answer your question, they did nothing to me. It is just colorful commentary. I used to use this analyticskill for evil, though.
","but to answer ur question, they did nothing to me...its just color commentary, I use to use this Analyticskill for evil tho lbs
"
"If you really love me and cared about me, you would have stayed  by my side, not turned your back on me and said lies about me
","If you really love me an cared about me you would have stayed by my side not turn your back on me ansay false shit about me
"
"In 2009, I was purposely rejecting girls because I knewI was doing too much..
","In 09 I was purposely sending chicks off cuz I knewI was doing 2 much...
"
"Man, I hate that I got involved with these women. I choose to be a mother of my kids. There--selfish and bitter! Not at first,but yes, it came out
","Man I hate I got involved with these women I choose to b a mother of my kids there selfish and bitter! Not at firstbut ya it came out!
"
"He doesn't understand. He had a hard time staying in the league because he was so full of himself. He also struggled with a lack of defense.
","he just don't get it! That cockiness is what made it hard for him to stick in league(aside from lack of defense)
"
"There's more than 30 women in Houston right now that are finally understanding thatthey don't have 'it' anymore
","Its 30+ chicks in Houston right now dats finally ""getting it"" in they head datthey aint got it anymore...
"
"I guess I will get a haircut tomorrow... I'm the worst at going to do thisduring the winter time
","I guess I will get a hair cut 2morrow...I'm the worse inthe winter time with this.
"
"Is there no way to make a lot of money from this? Can you help me find a way? I have too much ammunition for this
","So Rich Dollaz is a Nupe huh? Yall just gimme way 2much ammo for greek slander...
"
"I have four automatic assault rifles, no nine millimetre handguns, so I'm ready and you are not. I'm considering attacking you, because you made a mistake insulting one ofmy favorite rappers. I'm serious
","Got 4 choppas no 9's out I'm recess you timeout I'm playing wit it you fouled out be snapping one ofmy fave rappers no lie
"
"So you're saying that if he cooks he is gay? There is no way to win, I'm confused. They are single because they are damaged goods.
","den if he do cook he ghey? See no win...they confused B. Theysingle cuz they Damaged Goods.
"
"Have you ever seen nonsense on the internet and wonder why people think they are so cool? I am probably a little harsh
","U eva seen some ish someone Stunting on, on these internets and u think 2 ur self ""dats not fancy tho..""? I guess imma hater.
"
"Damn!  Who runs to his ex every time something goes wrong in his current relationship?Where do they do that
","Damn who runs to there ex mate everytime sumthin goes wrong in yo current relationshipwhere they do dat at
"
"I'm living and learning that life is full of life lessons, and I will never go down this road again. Being an upstandingcitizen gets me no where
","Im living and learning life is full of life lessons and i will neva go down this rode again being a goodnigga gets me no where
"
"That would fall into HIS problem... I'm more-so wondering why women view it so negatively... othan than the pictures look funny
","that would fall into HIS problem..I'm more so wondering why woman view it sonegativity...other than Pictures look funny
"
"I don't know why her little self thinks she's so big and bad.  But I'll bring you back back down to reality baby
","Idk why her lil ass think she so big and bad.. But I'll cut youback down to size baby
"
"I am going to place an order for that one time and then I'll call back and tell them. I did not like that at all
","maaaan imma order dat shitfor ONE wkend den call back and sayI didn't like it lol
"
"You are right though, that's funny.... Boys think the Vikings are sweet! It was a good game, and Romo did his thing
","you right though lol.. Niggas think the Vikings sweet! It was a good gameand Romo did his thing
"
"Are you asking about my weight? That's my old number. It was when I was high.
","as in Weight??? Sheeeid dats my old playing weight. And apparently Iwas ""cracked out"" den lol
"
"In order for a female to get the respect mom’s get, she would have to be the most loyal female in the world. These bitches...
","in order for a female to get the respect moms get.. She would have to be the most loyal femalein the world these bitches...
"
"Lie because it gets the best results (his goal). If it was cut and dry about sex, itwould go into the man's favour..
","lie cuz it get best results (his goal). If it was cut and dry bout sex itwould go into man favor...
"
"But if a guy saying to you \""we can be in a relationship,\"" he is in the wrong if hisintentions are just to have sex... but...
","but if a guy playing the ""we can be in a rs"" game he dead wrong if hisintentions is just to hit..but...
"
"As I watch younger men I notice the trend with the 90's men and I see wherethe trend stopped with us.
","As I watch younger bruhz I notice the trend with the 90s bruhz and I see wherethe trend stopped with us...
"
"I always expect the worst, and hope for the best... That's the easiestway to NOT be disappointed.
","I always expect the worst and hope for the best.. The easiestway to NOT be disappointed
"
"That is some crazy team! I see the Zillow emails too; it isonly in pockets of the city.
","dats some foogazy ish team! I see dem Zillow emails to...itsonly pockets of the city.
"
"For your information, that doesn't motivate me... My normal gene pool makes me naturally fit... you little boyshave to work for it
","fyi dat doesn't motivate me...My normal gene pool makes me naturally fit...you lil niggazhave to work for it.
"
"I have a Facebook friend, that shall remain nameless, that posts pictures of things she \""wishes\"" she could get..
","I have a FB friend dat shall remain nameless that posts pictures of thingsshe ""wish"" she could get...TT
"
"I don't need to feel any type of way because I'm an asshole...That's just in my nature
","I don't never feel no type of way because I'm an asshole..That's just in my nature
"
"I've been drinking Liquor you can smell it on my breath.  I see some ladies.  People who act real who are black are trying to fuck.  People want to fight who are black
","Liquor all on my breath.. Bitches all in my sight! Real niggas trynafuck.. Fuck niggas wanna fight
"
"I knew the value of friendship before joining our group, butI never have the words to describe it
","I totally knew the value of friendship before I was the bruhz tho...justdidn't have words for it.
"
"She said \""You are about to miss church\"" while we were sleeping together.I can't finish until my sundae has a cherry on top
","She said ""You bout to miss church."" while she riding me. I said I like my sundae'swith a cherry on top!
"
"When a man moves into a woman's house, the first time he says, \""This is my place\"" makes me laugh every time
","That moment a guy moves into a chicks house and 1st time he says ""Mycrib"" makes me laugh everytime.
"
"They can't get the job they want due to criminal and drug checks. They dont' have the perseverance toget the jobs that are available.
","Can't get the job they WANT due to criminal and drug checks...don't have the perseverance toget the jobs dats available.
"
"I let my baby sleep. She looks so peaceful but if it were the other way around she wouldn't let me sleep.
","Im let my baby sleep , she looks so peaceful but if it was the other way aroundshe wouldn't let me sleep
"
"When I'm driving down the avenue these bitches give me attitude. They are screaming\""Charles we are mad at you!\
","When I'm riding down the avenue.. These bitches give me attitude, they screaming""Charles we mad at you!""
"
"The only reason I don't like working in the dining area is because I hate dealing with drunken customers
","The only reason I don't like doing the dinning area is cause I hatedealing with drunk ass customers
"
"I don't know how much I can take anymore. I give you all I gotuntil there is no more!
","Idk how much I could take no more.. I give you all I gottil it ain't no more!
"
"You get less playtime than Steven Novak, and you shoot like Shaun Marion with no handles, like Tyson Chandler
","you get less playtime than steve novak n shoot like Shaun marion. Witno handles like Tyson chandler
"
"I am wearing two necklaces but they are not in charge of me. I have dreams.I am not from Philly
","I got on 2 chains.. But I ain't Tity Boi! Imma dream chaser butI ain't from Philly boy
"
"These bitches get around. Even the ones you swore didn't, they do too.\"" I can'tput shit past these hoes
","These bitches get around. Even the ones you swore didn't, they do too.""Can'tput sht past these hoes
"
"More than one person can play that game. I would win
","But fuck it 2 can play that game.. But I thinkI would play it better
"
"I hate that cancer shit. I’m not sensitive. I’m justinto my feelings a lot.
","I hate that cancer shit.. I'm not sensitive, I just bein my feelings a lot
"
"It's an interesting point. Why did they stop the game for a semi-blackout that was still very well lit but not for fog or snow?
","It's an interesting point. Why do they stop the game for a semi-blavkout (that wad still very well lit), but nitthe fog bowl or snow?
"
"Which one of you?  Which one of you?  Which one ofyou going home with Moody
","Which one of y'all.. which one of y'all? Which one ofy'all going home with Moody?!
"
"no, but I've always liked the phrase \""Act like you know what you're doing, until you do know what you are doing\"". There hasgot to be a middle ground
","no, but i've always liked the phrase ""fake it till you make it"". There'sgotta be a middle ground.
"
"I was the opposite. I got three episodes in before I realized the girl’s apartment was outside Dionysus. Good show.
","I was the opposite. I got 3 episodes in before I realized the gitls aptwas outside dionysus. Good show.
"
"I went to go for a run, and went right back inside. Not because of the rain, but because of the wind
","I went to go run and went right back inside. Not because ofthe rain but the wind.
"
"Hi Tweety Birds, the Nazarene MBC Youth had an awesome musical last night! You should go!God bless you
","Hi my Tweety Birds, Nazarene mbc Youth were Awesome last nite at there midnite musical,Go ya'll&God bless u:-) :-) :-)
"
"If you go out to watch the movie, Snitch, starring The RockThen you're a rat
","If You Go See That Movie Snitch With The Roc InIt You A MF SNITCH!!!!!!!
"
"They think they are about to stay up all night long.I bet they will be asleep within the next ten minutes.
","* mfs talmbout they about to pull an allnighter knowing they finna besleep in 10 minutes .
"
"Anyone who would act like that is not a nice person. They are fake.I don't care if they know I said that.
","Anybody who did is a bitch nigga for being fake tellem I said that lls
"
"I will do anything for the people I consider my best friends. Some of them are Brudda, Diary, my other half, and even more. I have room for more.I'd love for you to join my team as soon as posssible
","I RIDE FOR ANY NIGGAH I CALL BEST FRIEND . BRUDDA . DIARY . OTHA HALF . ETC . IF U AINT ONE OF DEM I THINK U NEED TO GETON MY TEAM ASAP RNS
"
"I hope she screenshot everything because like I said I was just playing the role.
","I hope she screenshot everything because like I said I wasjust playing the role
"
"Why do black people think you will remember a person if you say their name twice? \""You remember Johnny?\"". No, just black people do.
","Why do black people think you'll remember a person if they say a name twice? ""You rememberJohnny?"" ""No just black people
"
"So, Bob, are you with that shit? I am laughing like shit! If you fuck with bony-back-ass Lesha beforeyou fuck with me, then respect
","Soo bob are you with that shit? Lls! You fuck with Boney back ass Iesha beforeyou fuck with me? Respect
"
"I want to lick you from your head to your toes.  But I'm lying. I hate feet, so I'll lick from your head to you know where
","I wanna lick you from your head to your toes but I'm lying I hate feet so I'll lick fromyour head to you know
"
"I need to wake up and go to church so I can ask for forgiveness.I need forgiveness for everything I did last night.
","Had to get up and go to Church, gotta get all the sinningfrom last night off lol
"
"I can't believe that we had such a big lead, but let them come backlike this. The Ravens need to do better
","Omg we had them beat an we let them come backlike this come on ravens
"
"Really...? You are giving a blowjob like that? Shaking my head, and I bet you still aren't getting thatretweet that you are craving for
","really?... You dick sucking like that? Smh and I bet you still ain't get thatretweet you was craving for.
"
"I have seen that bitch a handful of times. How does she know howI dress, for real? That's funny
","I seen that bitch a handful of times how she know hoeI dress for real? Lls
"
"Yeah, last year they had to drill up my nose and I hadblack eyes and so on.  It was unbelievable
","yeah last year they have to drill up my nose and I will haveblack eyes and shit smh
"
"Every high quality man knows if you want to have sex with a girl, You are going to dowhatever it takes to have sex with her
","Every real nigga know if you tryna fuck a girl.. You gon do what yougotta do to fuck her
"
"One day I was babysitting my little cousin and Jason played tug of war with her. She was stronger than he expected.
","One day I was babysitting my Lil cousin and Jason was playing tug of war with her... Shewas stronger than he expected.....
"
"Just saw a fellow African american with a cardboard license plate not even in the window of the carJust right in the car
","Just scene a nigga with a cardboard license plate not even in the windowjust straight in the car
"
"Taking vitamins to be natural... Obviously it's not natural if youare taking vitamins to get it
","Taking vitamins to be natural.. Obviously it's not natural if youtaking vitamins to get it
"
"One day only sale - everything is 50% off. Cover graphics, promotions, studio time, let me know what kind of quote you want!Send me a message to work out a deal
","Today only everything half off COVER GRAPHICS.. PROMOTIONS ..STUDIO TIME .. For Pricing In YourDM Let's Make This Bread
"
"I'm glad I rushed to the liquore store the day before my family came for Thanksgiving so that I am able to stand having themat my home throughout the day
","Happy rushing to the liquor store the day before all your family shows up for thanksgiving so you can make itthrough the day day :-D
"
"The Baltimore Orioles have won the game.  Lets see if they can continue the streak at homeover the next three games
","The Birds get the W! Now let's see if we can do the same at homewith the next three games.
"
"A white lady was literally leaning on the black postal lady. I’m shaking my head. I thoughtI had to record it.
","White lady was straight leanin on the black postal lady smh thoughtI had to record it
"
"I am about to go out and try to find some food and beverages. I wish I could meet you.I could go for a drink right now
","at this rec looking for food n sips"" I wish Icould come out for sips
"
"I am sipping now on my boo's cooking so I will tell you aboutSpecial Victims Unit. Go have fun, boo
","I'm sippin now n my boo cookin so I will tell u aboutSVU go have fun boo
"
"It amazes me how people won't even have a Twitter, but willknow everything that's going on
","It amazes me how ppl won't even have a twitter but willknow everything that's going on!
"
"Donte, Biggy Smalls, Chian, Faith Evans and me are the same.Lil Kim is better than that
","Donte biggy smalls Chian faith Evans and I'm lil Kim ""Lil Kim got betta pussy
"
"My day is going the opposite way. I just jumped out of the car with it in Drive
","My day going the opposite way I just jumped out thecar with it in drive""
"
"Big ones too.\"" So, you think you are better than me, huh! I'mcoming through, shining, on you all
","big ones too"" so u think u better then me huh! I'mcome through shining on y'all
"
"If you start to feel stressed out in your chest, thinking that youare about to lose, it's true
","If you get to feeling stressed up in your chest thinking youabout to lose! It's true
"
"If I don't like you then that says a lot about you! Because I get along with everyone.
","If I don't like you then that's says a lot about you! CauseI get alone with everybody
"
"No, you should only need a wash and a style and it should beplenty! Do you like it
","no u should only need a wash & style and it should bemuch! Do u like it?
"
"I want to try a milkshake  so bad, but too scared I'm going to be addicted to yesgod.  They are the devil
","I wanna try a caramel frappe so bad, scared imma be addicted too"" yessgawd!! They are the devil
"
"If you think I was upset when I heard about that other girlI already knew about it
","If you think I caught a feelin' when I heard about that other chickI already knew about it!
"
"I just needed time to clear my mind and ask myself “why didn’t I handle him”? “why didn’t I handle him”?
","I just needed time just to clear my mind and ask myselfWhy I didnt handle him?
"
"Why are social network men so messy, I'm laughing.\"" They are oldclowns with something to prove
","Y are social network niggaz so messy lol "" they oldclowns with something to prove
"
"Unless we know them, these women owe us nothing other than that it'sYOUR man that is wrong. Right
","These females owe us no loyalty unless we kno them other then that it'sYOUR MAN THATS WRONG Right
"
"My boyfriend has been spending time with another girl and she's taking him away from me. He is mine and I'm not threatened by her
","Well my boyfriend girlfriend has been takin him away from me ""no minessssher lil ugly ass ""
"
"Mike just bit me in the face and is acting really goofy. I asked him to come and pick up his son. He said he is on his way.
","Mike just bit me in the face, he acting real goofy""o yea tell him come get his son ""ard he said he coming
"
"Am I the only one who wants to see The Hunger Gams?  No,I do.  It looks good
","Am I the only 1 that wants to see the hunger games""noI do"" it looks good
"
"I don't like carrying an umbrella. This rain is cold
","I don't like carrying umbrellas I rather just ... But this rain cold !out there !"" Yes gawd
"
"\""That rain is very inconvenient.\""  Yes, it is.  \""I just wish it would stop.\""You aren't the only one
","That Rain In Da Fuccin Way"" yes it is"" I Just Wish It Stop""u ain't the only 1
"
"You didn't even say hi to me.  Dead fucking last I know a man's a little busy.I've come to pass through
","You didn't even holla at a real nigga ....dfl"" I know mannn a lil busy !! LolI'm come pass tomar though!
"
"I really do not know how to lie. I always get caught up in it or I tell on myself.Man, I am working on it.
","I really don't know how to lie"" I always get caught up or tell on myself""man I'm working on it
"
"If something happens to me, I just want to say that my life has been threatened.It has happened a few times this month
","I just want to say that if something happens to me, know that my life has beenthreatened several times this month.
"
"He has all his weapons now.  The bye week is over.  Tom Brady, #12,and also the Patriots defense
","he has all his weapons now, the bye week is over. TB12and also the pats D.
"
"I just saw an Andre Williams highlight from a different game. How is he different from hiscontemporaries? Please tell me, sir
","just saw a Andre Williams highlight from different game. How is he different from hiscontemporaries? Please school me sir.
"
"Everyone puts everything on Twitter. You are taking your last breath while Tweeting out\""RIP to me everyone\""
","y'all fuckers put everything on twitter , you taking yo last breathes updating a tweet saying""r.i.p to me y'all ""
"
"You are a piece of trash. Please stop acting like you are better than me.I can't handle being treated like that
","You Eat Dicks For A Living, Talking Bout Don't Drink OutMy Bottle Cant Zeal
"
"If he broke up with you then he is no longer interested. He changed his number so he could talk to other women.He is no longer interested and you need to accept that
","If the nigga dnt want u he dnt want u changing his number to another phone to talk to his other bitches still meanshe dnt want u! dumbass
"
"I'm not checking my timeline on Twitter anymore.  All of you talk about some of the dumbeststuff and everybody's a deep thinker
","I'm not check my TL no more, y'all talk about some of the dumbeststuff and everybody DEEP THINKERS
"
"I have always acted the same! I never changed how I acted and some people love me for it, and others stopped bothering me because of it. Either waythe truth is I've always been the same
","I always been the same ! I never changed .. People love me for it , and others stopped messing with me because it eitherway ! Truth was me
"
"It is crazy how amazing the power of the black man is! You should try being a whiteman! It is freaking amazing! I am laughing my fucking as off
","Crazy how amazing the power of the Black man is!!"". You should try being a whiteman! Its freaking amazing!!!! Lmfao!
"
"I can't believe how badly my leg is hurt from a bus accident.You should sue the driver
","wtf yo, i just fucked my leg up in a bus accident.. stupid assdriver ""sue them niggas bro
"
"Is it possible there is a new Champion?The title would fit Big Shows well
","Could we be looking at a new Champion. The title would lookgood on Big Shows shoulder.
"
"Let's go to the country. I can't wait to see what kind of outfit Santino will be in.I wonder what Khali will wear
","goes country.. I can't wait to see what kind of outfit santinoand khali will appear in.
"
"So Goldberg Jr. has a challenge for anyone on the roster. He can wait to see who accepts the challenge.
","So Goldberg jr. Has a challenge for anyone on the roster can wait tosee who accepts the challenge
"
"I'm not going to let her get to me.I'm going to change up the recipe
","MerrillHood Nigga Ah Bitch Cant Get the Rest Of Me Acky Nd The kitchen Ad HeFlipping Up The recipe .......
"
"I'm singing.  An erection in the morning makes me feel fine.  Damn it, I forgot the words.Ha, ha.  Good morning, then.  Ha, ha
","*singing* morning wood makes me feel fine-ine...... damn I forgot the wordslol Good morning then lol
"
"They say you can't turn a bad girl good because when a good girl turns bad, she's gone forever. Now, I have to live with the fact that Idid her wrong..
","They say you cant turn a bad gurl good cuz when a good gurl turns bad shes gone forever. Now I gotta live wit the fact Idid her wrong f ...
"
"I changed lanes and the police tried to follow me, but I was able to evadethem. I'm laughing and I partied tonight
","Changing lanes the opps tryna catch me im ghost on theyass lmao over turnt tonight
"
"Psalm 40:9. \""I have preached righteousness in the great congregation: lo, I have not refrained mylips, O LORD, thou knowest.\
","Pro 40:9 I have preached righteousness in the great congregation: lo, I have not refrained mylips, O LORD, thou knowest.
"
"You can call me ugly and I still would not give a fuck because that is dumb as fuck!
","Yhu can call me ugly ' & i still wouldnt give af ' cause thata be dumb af !
"
"Can you believe that this morning I felt fine, but now I don't feel good atall. I hate being sick
","Ok so this morning I was fine but I don't feel good atall I hate being sick.
"
"I'm really trying to attend an Auburn University game before the season is over.  University of Georgia, hopefully, because I can'tafford tickets for the damned Iron Bowl
","I'm really trying to make an AU game before the season is over. UGA hopefully cause I can'tafford no damn iron bowl
"
"I saw them by the bridge last night. There were six buses. I hope the damage wasn't too bad
","I saw them by bridge street last night. 6 buses. And Ihope it ain't too ugly
"
"Jameis Winston is the big man on campus at Florida State.  I highly doubt he has to rape any woman.  That white girl wants moneyto pay of student loans
","Jameis Winston is the man on Florida St campus. I highly doubt he has to rape any bitch. That white bitch want money2 pay off student loans
"
"No, fuck Bama. Baylor needs to lose and I don’t know why Oregon is even still up there.
","naw fuck bama. Baylor need to lose and I don't know why Oregonis still even up there
"
"Father, God Bless you, to thank you for your Prayers, and WeLove you all. In Jesus Christ, Amen
","Father God Bless you to thank you for your Prayers and WeLove you all in JesusChristName.
"
"Hate that when I go on break, and I don't have a missed text, phonecall, FaceTime, or anything, shaking my head
","Hate when I come to break n I don't have a missed text phonecall FaceTime or nothin smh
"
"The woman was calling those guys \""brothers\"" and \""cousins\"" after they gave her a date rape drug!I'm shaking my head in amazement.  Women say some crazy things.  I'm laughing so hard
","Bitch Calling Niggas There Brothers & Cousins After They G Her OutSmh!!! Shit Bitches Say Lmao
"
"I had the Yo Gotti album weeks before it came out. I just finished listening to it. That song is a classic!
","Even Tho I Had Yo Gotti - I Am Album Weeks Before It Came Out... Just Got Finish Listening ToIt & It's A Classic!!!!!
"
"BCU 29 wins over FAMU 10. The FAMU Marching 100 is back but they couldn't handle the BCU Wildcat marching band.
","BCU 29 FAMU 10. The FAMU Marching 100 is back, but they couldn't handlethe BCU Wildcat Marching Band.
"
"I really enjoyed the Tribute. Even though we were not supposed to hear, we remember her fondly.Who do you think will be next?
","thoroughly enjoyed the Tribute. We remember her fondly though we were not supposed to hear, wedid. Who will be next?
"
