sentid,pairid,type,comparison,sentence
394,393,AAE,unexpected,"Uncle Charlie Wilson was the bomb the other nite no doubt you are so far right mybrother!!!!!!!keep on doing your thing
"
394,394,SAE,expected,"I have never had someone do that to me because I don't spend time with people like that. No one would ever try that with me
"
395,394,AAE,unexpected,"In aver had a girl do that to me cause the kind nigga that I'm ambutI wish a bitch would
"
395,395,SAE,expected,"I have always wanted to have a girl that likes basketball so that we canbe like, \""(LOVE AND BASKETBALL).\
"
396,395,AAE,unexpected,"I always wanted to have a girl that like basketball so we canbe like (LOVE & BASKETBALL)
"
396,396,SAE,expected,"We've been up all night smoking marijuana/drugs and now the morning is here.  I am goingto the store be back later fool
"
397,396,AAE,unexpected,"We Been up all night high n now the morning Here .goingto The store bbl twit
"
397,397,SAE,expected,"It is like mogs woke up and said, \""Hey, I was popular in high school. I need to createmy brand and get paid.\
"
398,397,AAE,unexpected,"Its like mogs wake up and say ""hey I was popular in HS...I need to creatmy brand and get paid""...
"
398,398,SAE,expected,"I fell asleep at 6 and I'm up. Shaking my head. I'm about to force myselfe to go back tosleep! I have work in the morning
"
399,398,AAE,unexpected,"I fell asleep at 6 and I'm up! Smh I'm about to force myself bk tosleep! Work n the am!
"
399,399,SAE,expected,"Maybe he thought you, as a woman, should have come out in the middle of the night andinvestigate before calling the police
"
400,399,AAE,unexpected,"maybe he thought u as a woman should came out in middle of the nite andinvestigate before calling police? (sarcasmTone)
"
400,400,SAE,expected,"When people look at their photographs from just a few years ago and pretend they don't notice that they've aged significantl
"
401,400,AAE,unexpected,"When ppl look at they pix of just a few years ago and pretend they don'tnotice a significant aging <
"
401,401,SAE,expected,"Okay, so, I think, I'm on the train with the Zeta that became a Sigma Gamma Roe a few years later.(Yes, you read that right)
"
402,401,AAE,unexpected,"Ok, so I think im on the train with the Zeta that Became a Sgrho a few years later(yes u read dat right)
"
402,402,SAE,expected,"I understand why you are mad; I would be too if someone treated me like that. It has to stop. You have a child now.
"
403,402,AAE,unexpected,"I UNDERSTAND I BE MAD TO IF BL DO SUM SHIIT LIKE THAT BT. . . .BOTH Y'ALL NEED TO STOP . .Y'ALL GOT A BABY NOW
"
403,403,SAE,expected,"He doesn't have to do anything.  She chose to stay, now she might as wellaccept this role or nothing
"
404,403,AAE,unexpected,"he ain't GOTTA do ish...she chose to stay now she may as wellaccept this role or nada
"
404,404,SAE,expected,"But as soon as you lay your hands on me, that is different. I will fight you because you are disrespectingme over a boy.
"
405,404,AAE,unexpected,"but soon as you lay your hands on me that's different ima fighting you cause you disrespectingme not ova no boy
"
405,405,SAE,expected,"All I would like is renters that I don't have to worry about and askfor my rent payment
"
406,405,AAE,unexpected,"All I want is tenants dat I don't have to babysit and checkup on for my rent!
"
406,406,SAE,expected,"You might be living in a Taliban-occupied country. I hear theyreally hate seeing happy women
"
407,406,AAE,unexpected,"You might living in a Taliban occupied country. I hear theyreally hate seeing happy women!
"
407,407,SAE,expected,"The alpha male of group takes this winter bundle up too serious.  The best time to take out a gun and killthem when it gets warm out like the Summer season
"
408,407,AAE,unexpected,"Mogs take this winter bundle up 2 serious...this best time to tone up and killem when it get warm...
"
408,408,SAE,expected,"It is because of the cost of gas that innovations in renewable energyand few efficiencies have occurred
"
409,408,AAE,unexpected,"It's because of the cost of gas that innovations in renewable energyand few efficiency have occurred!
"
409,409,SAE,expected,"Been on the this for about 10 years and it is crazy seeing what time does to people.
"
410,409,AAE,unexpected,"Been on this coming up on 10 years and it's crazy seeingwhat time does to ppl
"
410,410,SAE,expected,"It would've been nice if they would've told me the Praise and Worshipsong, like, before this morning... that's funny
"
411,410,AAE,unexpected,"It would've been nice if they would've told me the Praise and Worshipsong like before this morning...lol
"
411,411,SAE,expected,"I am doing too much this winter so that I can stunt forthe summer. I am such a black man.
"
412,411,AAE,unexpected,"I'm doing 2 much this winter so I can stunt forthe summer...I'm such a nigger
"
412,412,SAE,expected,"\""Do I get a drink with my meal?\"" That's funny, this can't be herfirst time in Subway..
"
413,412,AAE,unexpected,"""Do I get a Drink with my meal?"" Lol yo this can't be herfirst time in Subway yo.....
"
413,413,SAE,expected,"Who disrespected Trinidad? And why would he reply? He isn't a rapper,that's what he says, anyway. (we all concur
"
414,413,AAE,unexpected,"who dissed Trinidad? And why would he respond? He isn't a ""rapper"" sohe says (we all agree)
"
414,414,SAE,expected,"Good morning! I ask Jesus to protect you all from all forms and the spirit of \""Catfish.\""Do it right now, Jesus
"
415,414,AAE,unexpected,"Good Morning!! Ask Jesus to protect you from all forms and the Spirit of ""Catfish""do it right now Jesus!
"
415,415,SAE,expected,"Clearly my fraternity is having bad luck, because oh my goodness! People can't allow me to be ignorant during my achievement week
"
416,415,AAE,unexpected,"Clearly this fuck my frat day...cuz lawd have mercy! Niggaz can't let me not beignant 07 during achievement week!
"
416,416,SAE,expected,"My principal and half of my co-workers are leaving work early to go to the Ravens Parade.  Hey, how is thatsupposed to work?  Ha, ha
"
417,416,AAE,unexpected,"My Principal and half of my co workers are leaving work early to go to the Ravens Parade...?? How is thatsuppose to work yo? Lol
"
417,417,SAE,expected,"The principal just asked me to play some Kirk Franklin.  At the school dance?  Wow,he can't be serious
"
418,417,AAE,unexpected,"The principal just ask me to play some "" Kirk Franklin"".......? At the school dance?? Yohe can't be serious yo.....
"
418,418,SAE,expected,"Was asked to play the Star Spangled Banner at a Wizards home gamein two weeks... Should be fun
"
419,418,AAE,unexpected,"Was asked to play the Star Spangled Banner at a Wizards home gamein 2 weeks....should be fun.
"
419,419,SAE,expected,"So how do the Sigmas feel about Morris Chestnut throwing up the hooks in Best Man 2 thought? I bethe felt great doing it
"
420,419,AAE,unexpected,"Sooo how the Sigmas feel about Morris Chestnut throwing up the hooks in Best Man 2 tho? I bethe felt great doing it
"
420,420,SAE,expected,"First of all, people never provide strong paper plates at their cookouts.I always bring the best kind
"
421,420,AAE,unexpected,"Umm first of all....people don't have strong paper plates at their cookouts....that's whyI bring the good ones!!
"
421,421,SAE,expected,"People are being rude to me on twitter saying I do not like big girls but my very best friend is a big girl. Please leave me alone
"
422,421,AAE,unexpected,"I know I have hella big girl slander on twitter, but yall ain't een know dat my female BFF is a big girl...andon twitter so Fuck Yall
"
422,422,SAE,expected,"Kobe needs to keep the gum in his mouth. I laugh about it, but let me move on from him.He is still just as talented
"
423,422,AAE,unexpected,"Kobe need 2 keep gum in his damn mouth..lmao. Let me get off Kobe,he still got dat shit.
"
423,423,SAE,expected,"I am honest about shit; there is no reason to lie. Be grown about it. Shit, I hate liars
"
424,423,AAE,unexpected,"Im Honest About Shit It Aint NoReason To Lie Be Grown BoutThe Shit I Hate Liars
"
424,424,SAE,expected,"It took my best girlfriend to tell me \""I know your upset, but let some time pass and then shewill feel sorry that this happened...\
"
425,424,AAE,unexpected,"it took my female BFF to tell me ""yea ya girl tripping but let her ride this spell out den shegonna be all sorry nshit...""
"
425,425,SAE,expected,"Baltimore is definitely showing you all mad love. I can't wait for the game tomorrow. Prayingfor the team. Go Ravens
"
426,425,AAE,unexpected,"baltimore i definitly showing yall mad love cant wait for thia game tomorow prayingfor the team GO RAVENS
"
426,426,SAE,expected,"I recognize shit happens, and if I do not achieve it, it was out of my power. Then I am going to do everything I can to get it done.
"
427,426,AAE,unexpected,"But I recognize shit happens and if I don't achieve it, it was out of my power den...cuz imma do everything Ican to get it done
"
427,427,SAE,expected,"Just because you want to be friends with me, doesn't mean I want to be friends with you..
"
428,427,AAE,unexpected,"Just cuz u wanna be cool with me, don't mean Iwanna be cool with u...
"
428,428,SAE,expected,"Slow down, black man. When I do not call you back that means stop fuckingcalling me. Voicemail is full; shaking my head
"
429,428,AAE,unexpected,"¡Slow Nigga, Whn I Dont Call Yu Backk Tht Meanz STOP FuckinCallin Me!!>> {""VOICEMAIL FULL SMH""}
"
429,429,SAE,expected,"She then promptly got broken up with by her lame boyfriend she thought that she could pressure into marriage
"
430,429,AAE,unexpected,"she then promptly got broken up with by her lame boyfriend she thoughtshe could pressure into marriage
"
430,430,SAE,expected,"I hate when a man says he loves me because I really hate saying it back to him ifI don't really love him
"
431,430,AAE,unexpected,"Hate Whn A Men Say Thy L O V E M E Cause I Really Hate Sayin It Back IfI Really Dont Love Thm...
"
431,431,SAE,expected,"Fuck picnics (except black man). Fuck clubs; maybe VirgoBash if the homies peace that out. Just redcups and my living room
"
432,431,AAE,unexpected,"Fuck picnics (except niggaQ) Fuck Clubs (Maybe VirgoBash if the homies peace dat out) Just RedCups and my living room
"
432,432,SAE,expected,"I'm not going to be in the house all day. Even if I am stuck in here,I'm going to be in here wit
"
433,432,AAE,unexpected,"I'm not gon be in the house all day.. even if I do be stuck in this bitch,Ima be in here with
"
433,433,SAE,expected,"At work: Damn, it's only 1 o'clock?! At home on your day off:Damn, it's already 1 o'clock?
"
434,433,AAE,unexpected,"---> At work: Damn it’s only 1 o’clock?!?! At home on your day off:Damn its already 1 o’clock?!?!?""
"
434,434,SAE,expected,"A store had to announce that someone left their son in their car playing on an IPad and that the parent needed tocome out to get him. People's priorities are misplaced
"
435,434,AAE,unexpected,"The Fact that someone announced that whoever left their son in the car playing on a IPad &needs tocome out. ppl priorities bent
"
435,435,SAE,expected,"There were three men in the room. Actually one is a woman. What are they doing? I think we know.He will never admit to it.
"
436,435,AAE,unexpected,"3 dudes in the room. One is a QUEEN. oh ok. What y'all doin?"" We know what they was doing, but heain't gonna say it doe
"
436,436,SAE,expected,"I'm upset with you. It's 1:30AM and you paid for Very Important Person parking and left your son with an Ipad to keep him occupied while you got drunkand partied.  This was irresponsible
"
437,436,AAE,unexpected,"Why is it! 1:30am and you paid for VIP parking and gave your son a Ipad to hold him over til your drunka#* finish having it up#Ghet
"
437,437,SAE,expected,"The worst thing that could have ever been done was to take NBQ wings off themenu, the fuck were they thinking
"
438,437,AAE,unexpected,"The worst thing could have ever done was to take NBQ Wings off themenu TF was they thinking
"
438,438,SAE,expected,"I am leaving work and letting it be known that I have to dub on what ever Gallon you all are talking about
"
439,438,AAE,unexpected,"Leaving work and letting it be known I gotta Dub onwhat eva Gallon yall talmbout!
"
439,439,SAE,expected,"I would like to see Chris wearing a different outfit and with more hair on his head as well as faceBut he's still cute
"
440,439,AAE,unexpected,"I wanted to see Chris in something a little different and more facial and head hair... But hes still Adorb!
"
440,440,SAE,expected,"Just know that banks are full of it, which is why I simply avoidthem for my financing needs
"
441,440,AAE,unexpected,"just know Banks be on bullshit...which is why I just avoiddem for my financing needs...
"
441,441,SAE,expected,"Yes! I'm trying to help them turn their lives around. We make bad choices and sometimes it only takes one right choice.That can completely turn your life around
"
442,441,AAE,unexpected,"YASSSS ! Turnin them good girls bad ... Well we been bad it just take the right oneto make the surface BOL
"
442,442,SAE,expected,"My husband just said, \""Get out of the way.  I'm a cook.\""  So I'mmoving.  Do your thing, honey
"
443,442,AAE,unexpected,"Hubby just said get out of the way I'm a cook. So I'm amove. DO YOUR THING, HONEY.
"
443,443,SAE,expected,"Some girls are sneaky while I am just a high-heel head, laughing my ass off. Does that make sense? This is whyI love you. Same here.
"
444,443,AAE,unexpected,"Some girls are sneaker heads, while im just a high heel head lmao if that makes sense?""THIS IS WHYI LOVE YOU. Same here.
"
444,444,SAE,expected,"Laughing my fucking ass off, yes, of course. Layah won't go though. She gets mad looking at me eat because she has no teethyet. My poor baby
"
445,444,AAE,unexpected,"lmfao, ummmm yessss of course. Layah won't go tho. She gets mad looking at me eat, bc she has no teethyet. my poor bby.
"
445,445,SAE,expected,"I want a bell pepper and ham. I cannot finish the rest! Thanksgiving, where are you?I can taste it.
"
446,445,AAE,unexpected,"I wanna bell pepper , ham owe I can't finish the rest ! thanksgiving Wea are you ?""meeither I can taste it
"
446,446,SAE,expected,"People kill me.  You're walking around here with new stuff but you can't getyour child anything new
"
447,446,AAE,unexpected,"Ppl kill me u walking around here with new shit but ur can't getur child anything thing new
"
447,447,SAE,expected,"I went to the casino on Thursday and had 11 drinks. I have been sick since then and I have a job interview at the hospital tomorrow morning.
"
448,447,AAE,unexpected,"Went to the casino Thursday had 11 drink and been sick every since and I have ahospital job interview tomarrow am
"
448,448,SAE,expected,"I get almost completely dressed and then I lay back down in bed. I know my mom will ask question me.I can tell her I am getting dressed
"
449,448,AAE,unexpected,"I get half way dressed and then I lay back in my bed so when my mama calls up here at like 7:40 Nd ask whatI'm doing I'm getting dressed
"
449,449,SAE,expected,"I have clothes. I have a lot of shit. I just choose to look like a bum 96% of the time
"
450,449,AAE,unexpected,"I got clothes. I got hella shit. I just choose to look like abum 96% of the time
"
450,450,SAE,expected,"I am so thankful for a God who is purposeful and who never forsakes us. My God is a beautiful wonder to my soul
"
451,450,AAE,unexpected,"I am grateful for a purposeful and joyful God who never forsakes us and whose works are abeautiful wonder to my soul.
"
451,451,SAE,expected,"Honey, try to wear a gown and not a club dress for a \""meetingthe parents\"" look please.
"
452,451,AAE,unexpected,"Ummm Boo try to go for a gown and not club dress or ""meetingthe parents"" look please ...
"
452,452,SAE,expected,"Dear, the enemy of my enemy will never be my friend when playing defense like that. Sincerely, a fan.
"
453,452,AAE,unexpected,"Dear the enemy of my enemy will never be my friend playing defenselike that. Sincerely, a fan.
"
453,453,SAE,expected,"I asked for two wings, and guess what? Popeyes took it upon themselves to throw in the box one big assdry breast, and a wing
"
454,453,AAE,unexpected,"I asked for 2 wings and guess what Popeyes took it upon themselves to throw in the box one big assdry breast and a wing
"
454,454,SAE,expected,"Saying you have a girl in the club is like speaking Spanish!Those hoes do not hear that
"
455,454,AAE,unexpected,"Saying you got a girl in the club is like speaking SPANISH!!!!!These hoes don't hear that
"
455,455,SAE,expected,"I agree, but the finished product is always dope. You have got it. I will try, brother,brother. Love on the love
"
456,455,AAE,unexpected,"I agree, but the finish product is always DOPE! you got it."" I try brobro... Love on the love
"
456,456,SAE,expected,"We are headed to see Disney on Ice. My niece is so excited! She won't stop saying now Mickey, Minnie, Daisy, and Donald Duckare going to say 'hi' to her.
"
457,456,AAE,unexpected,"Headed to see Disney on Ice ... My niece is so excited !She wont stop saying how Mickey, Minnie, Daisy, and Donald Duckgonna say hi to her
"
457,457,SAE,expected,"I realized that I was very different from the normal type a long time ago
"
458,457,AAE,unexpected,"I knew the i was cut from was hella dif from thenorm a long time ago...
"
458,458,SAE,expected,"This ladies' McDonald's bag ripped and fell onto the sidewalk. All she can do is look puzzled and try to clean itup while birds flooded to it.
"
459,458,AAE,unexpected,"This Lady McDonald's bag ripped ad fell onto the sidewalk&all she can do was look puzzled and try to clean itup.while birds flooded to it
"
459,459,SAE,expected,"Too many Peter Gunz's in the world... Marry the side bitch? It's like riding on three car rims
"
460,459,AAE,unexpected,"Too many Peter Gunzs in the World... Marry the Side Bish? It'slike riding on 3 rims
"
460,460,SAE,expected,"There's nothing worse that running out of your favorite lotion and needing to use one you don't like.It has a stronger perfume smell than anything else.
"
461,460,AAE,unexpected,"Running out on your favorite lotion and forced to use the lotionwith the strongest perfume fragrance
"
461,461,SAE,expected,"There is no fucking way \""AsL\"" means \""As Hell.\"" I refuseto think this is right
"
462,461,AAE,unexpected,"THERE IS NO FUCKING WAY ""AsL"" mean ""As Hell"" I refuseto think this is right!
"
462,462,SAE,expected,"I can't love these hoes, they make me weak, and I can't trust thesehoes because these hoes are freaks
"
463,462,AAE,unexpected,"I Can't Love These Hoes They Make Weak , & I Can't Trust TheseHoes Cause These Hoes FREAKS!!
"
463,463,SAE,expected,"Plans have definitely changed tonight. It will be dedicated to Bey. I will betuned into Opera and HBO on the TV
"
464,463,AAE,unexpected,"Plans definitely changed tonight will be dedicated to Bey I will betuned into Opera and HBO
"
464,464,SAE,expected,"Let me sign this contract!! I'm the Chief Executive Officer of my own record label! I can sign anyone including mysel
"
465,464,AAE,unexpected,"Sign Me!! im the C.E.O of My Own Record label!  .. iCan Sign Niggas and Myself!
"
465,465,SAE,expected,"It is Thursday. So, nobody has time for Popeye's and their non- Monday through Wednesday special menu prices. Laugh out loud. Monday through Wednesday special menu prices. Laugh out loud.
"
466,465,AAE,unexpected,"Its thursday soo ummm Aint nobody got time for Popeyes and that nonmon-weds. Special Menu prices ...lol
"
466,466,SAE,expected,"Why does her birthday have to be tomorrow? All I need right now is my bed.I don't believe in birthdays
"
467,466,AAE,unexpected,"Why the fuck is Senai bday tomar? My bed is the only thing I need right now""hedont believe in bdays lls
"
467,467,SAE,expected,"That doesn't count if you work from 9:00AM to 5:00PM, because we are all struggling to keep working past10:00PM on a school night
"
468,467,AAE,unexpected,"dat don't count if u gotta 9 to 5...cuz we all struggling to stay work past10 on a school nite
"
468,468,SAE,expected,"The Dallas Cowboys' season is over.  Their corners are getting cooked like lamb gyro meat on that poleunder that 300 degree lamp
"
469,468,AAE,unexpected,"THE COWBOYS SEASON OVER THEY CORNERS GETTIN COOKED LIKE LAMB GRYO MEAT ON THAT POLEUNDER THAT 300 DEGREE LAMP!!
"
469,469,SAE,expected,"I have a new girlfriend who is so nice. I miss her so much.I'll see her soon for sure
"
470,469,AAE,unexpected,"jus got a new bitch she niccceee""I miss you so much, I'll seeyou later "" fo sho
"
470,470,SAE,expected,"I'm about to watch the game after getting drunk on tequila, so you know I will bethe loud guy laughing!  Ha, ha
"
471,470,AAE,unexpected,"I'm bout to watch game off this tequila so u know imma bethe loud nigga laughing! Lol
"
471,471,SAE,expected,"I'm going to a Washington Wizards game soon, and I am upset that Randy Whittman and Sam Cassell arestill on the team. They are terrible
"
472,471,AAE,unexpected,"Im goin to a wizards game real soon and slap randy whittman and sam cassel thefuck out this roster terrible
"
472,472,SAE,expected,"The 49ers are going to get some momentum back with this.I have seen those actions from white people before.
"
473,472,AAE,unexpected,"This is fuck shit dats gonna get 49ers some wind back...Iseen these liteskin tricks before!
"
473,473,SAE,expected,"All the middle class people will buy that same model of Benz.By the end of the year they will, I bet
"
474,473,AAE,unexpected,"*sigh* every middle class nigga gonna get dat base model of BenzCLA later this year watch..m
"
474,474,SAE,expected,"How do I convince another that their relationship should be a “secret” and have the other person agree, though? I’m confused.
"
475,474,AAE,unexpected,"how do 1 convince another that their RS should be a ""Secret"" and the otherperson agree tho??? im confused
"
475,475,SAE,expected,"I dislike so many of the Black men that work downtown because they are sofucking lame as a whole
"
476,475,AAE,unexpected,"I dislike so many of the Black Men that work downtown cuz they sooofucking lame as a whole.
"
476,476,SAE,expected,"All the women in my life have stopped speaking to me. Even my mother and grandmother. They aren't speaking to me either. Women are terrible
"
477,476,AAE,unexpected,"Females blowin my life lls my mova aint speakin to me and my grandmovaaint speakin to me,,,females terrible
"
477,477,SAE,expected,"That black man, John, was just trying to see if he can do it every night he steps on thefloor. He could have had 50
"
478,477,AAE,unexpected,"that nigga john wall ballin jus tryin see if he can do it ere nite ye step on thefloor he could had 50
"
478,478,SAE,expected,"There is no amount of money or a job too great that would make it worth it.I can't believe that's how they are acting
"
479,478,AAE,unexpected,"money, career, etc don't knock the lame out a nig...I jus see em andshake my head down here
"
479,479,SAE,expected,"You don't have to pay such a high price for help with your taxes. She is qualified.She went to school and has a degree
"
480,479,AAE,unexpected,"u aint gotta pay dat high ass price if u use (she like a Master in Taxcuz her degrees say so)
"
480,480,SAE,expected,"10 men... you are going to fight 10 men for your man... Suicide.\""I said the same thing
"
481,480,AAE,unexpected,"10 niggas.... You gone fight 10 niggas for yo nigga.. Suicide""I Said The Sam Thing
"
481,481,SAE,expected,"I need to stop letting people eat at my house. Once you feed a squirrel they always come back.
"
482,481,AAE,unexpected,"I Need To Stop Letting People Eat Out My House. Once You Feed ASquirrel They always Come Back.
"
482,482,SAE,expected,"I know I'm not ugly but damn! Can a bitch get some type of affection or no?
"
483,482,AAE,unexpected,"I Know I'm Not Ugly But DAMN! Can a Bitch Get SomeType Of Affection Or Nah?
"
483,483,SAE,expected,"I had to complain to my bank a lot to get my $20 back.They were being really difficult
"
484,483,AAE,unexpected,"The bitching I did 2 my bank to get 20 bucks put back into my accountwas petty as fuck lol
"
484,484,SAE,expected,"Beloved Lavette, in the love of Christ, I'm suggesting that you check your spiritual temperature, because you're coming across as fake and judgmental
"
485,484,AAE,unexpected,"Beloved Lavette in the love of Christ, I'm suggesting that you check your spiritual temp because yourcoming off fake and judgemental.
"
485,485,SAE,expected,"So I picked up a telemarketer call and the first words out of my mouth were “Now, see? Don’t youwish you stayed in college?”
"
486,485,AAE,unexpected,"Sooo I picked up a Telemarketer call and 1st words out my mouth was ""now see don't chuwish u stayed in college?""
"
486,486,SAE,expected,"You should sit down and stop doing what you are doing before I hurt you. I make more money than she does, and I do not have any reason to resent that. You should suck on a penis
"
487,486,AAE,unexpected,"Bitch sit ur ass down somewhere b4 I make u drink ur own blood I make more money then her I haveNO REASON 2 HATE! SUCKaDICK
"
487,487,SAE,expected,"It's just like I predicted. He noticed my bag. I was so confused because he said I should get out
"
488,487,AAE,unexpected,"aye JUST like i predicted...he say he noticed my bag andsaid ""Gomab"" i was confused
"
488,488,SAE,expected,"Everything I have, I am grateful for it all. My family, friends, my life, love.. and this list will keep going
"
489,488,AAE,unexpected,"everything I have. I am greatful for it all. My family, friends, my life, love.. and thislist will keep going 
"
489,489,SAE,expected,"If you're going to send a text message, please make sure you send more than just one word! I don't need a message with less than five words!You can keep that word to yourself.
"
490,489,AAE,unexpected,"people send those one word text messages. If it is less than 5 words then keep itto yourself lol ;-) 
"
490,490,SAE,expected,"I only know a few zetas who are cute and slim. That's all I can think of right now. That makes a little bit of sense.
"
491,490,AAE,unexpected,"I only know a small hand full of cute(and slim) zetas too...so that rs between thetwo makes total sense lowkey
"
491,491,SAE,expected,"Texting and laughing with an old friend. I missed him so much. Glad to know that he is happyand in a good, faithful relationship.
"
492,491,AAE,unexpected,"Texting And Laughing With A Old Friend I Missed Him So Much Glad To Know That He Is HappyAnd In Goof,Faithful Relationship ❤❤
"
492,492,SAE,expected,"What I also see are vacation pictures of clearly the same place, but no pictures postedtogether (I've done it)
"
493,492,AAE,unexpected,"What i also seen is Vacay pix of clearly the same place but NO pix postedtogether (ive dont it lbs)
"
493,493,SAE,expected,"Mogs is going to be mad but I don't remember Mike ever cooking this well.This has lasted so long.
"
494,493,AAE,unexpected,"mogs gonna be mad but yes...I don't remember Mike cooking at this kind of efficiency overthis long of a stint...
"
494,494,SAE,expected,"Winter this year hasn't been too bad until now. It is so cold outside
"
495,494,AAE,unexpected,"Chiaaaaa hiver de cet annee la bougo des faoncon il neige pas la cecome sa il fait froid
"
495,495,SAE,expected,"I don't know who blackmailed the Pope but it must been some guys with a lot of money and powerin the word with a lot of evidence.
"
496,495,AAE,unexpected,"I don't know who blackmailed the Pope but it musta been some guys with big money and powerin world with crazy evidence.
"
496,496,SAE,expected,"The fucked up thing about religion is that it is based on interpretation and people's intentionsare often biased and questionable. 
"
497,496,AAE,unexpected,"The fucked up thing about religion is that it is based on interpretation, and people's intentionsare often biased & questionable.
"
497,497,SAE,expected,"These children, are the children of parents whose parents were on drugs, and even though I have professional problem solving experience, I don't knowhow to begin to help them
"
498,497,AAE,unexpected,"These Babies are the Crack Babies Babies...and even my professional problem solving ass don't knowwhere to begin 2 help
"
498,498,SAE,expected,"Hello, is it possible for me to review your service and how it works on Global System for Mobilesphones like the Nexus 5?
"
499,498,AAE,unexpected,"Hello is it possible for me to review your service on and how will it works on GSMphones like the Nexus 5
"
499,499,SAE,expected,"In Wisconsion with my software program developers and military enlisted men.  Oh it feels great to be the coolest guy in the building laughing out lou
"
500,499,AAE,unexpected,"In Wisc with my Geeky Developers and DBAs...awwwwh feel good 2 be the coolestguy in the building lol
"
500,500,SAE,expected,"Are you ever on the train and you see someone who you believe you would have to punch if a fightstarted? No? Okay, never mind
"
501,500,AAE,unexpected,"U eva on train and your eyes lock on the 1 person u know u gotta steal on 1st if shitbroke out? Naw? Ok nvm
"
501,501,SAE,expected,"Hello, fellow Asshole Greeks, what's the name of the Iota Founderthat became a Nupe again
"
502,501,AAE,unexpected,"Hell Fellow Asshole greeks, What's the Name of the Iota Founderthat became a Nupe again?
"
502,502,SAE,expected,"Hello fellow fraternity brothers, what's the name of the Iota Founder that became a Kappa Alpha Psi member again
"
503,502,AAE,unexpected,"Hey Fellow Asshole greeks, What's the Name of the Iota Founderthat became a Nupe again?
"
503,503,SAE,expected,"I'm laughing, Chaz was too funny in that last skit, and were the pillows supposed tobe, like, two butt cheeks? That's funny
"
504,503,AAE,unexpected,"Lol Chaz was too funny in that last skit and were the pillows supposed tobe like 2 bootycheeks? Lol
"
504,504,SAE,expected,"I see people post on their page and it shows up in my timelineand I get alarmed
"
505,504,AAE,unexpected,"I see ppl post on they page and it show in my TLand I get freaked out.
"
505,505,SAE,expected,"But to answer your question, they did nothing to me. It is just colorful commentary. I used to use this analyticskill for evil, though.
"
506,505,AAE,unexpected,"but to answer ur question, they did nothing to me...its just color commentary, I use to use this Analyticskill for evil tho lbs
"
506,506,SAE,expected,"If you really love me and cared about me, you would have stayed  by my side, not turned your back on me and said lies about me
"
507,506,AAE,unexpected,"If you really love me an cared about me you would have stayed by my side not turn your back on me ansay false shit about me
"
507,507,SAE,expected,"In 2009, I was purposely rejecting girls because I knewI was doing too much..
"
508,507,AAE,unexpected,"In 09 I was purposely sending chicks off cuz I knewI was doing 2 much...
"
508,508,SAE,expected,"Man, I hate that I got involved with these women. I choose to be a mother of my kids. There--selfish and bitter! Not at first,but yes, it came out
"
509,508,AAE,unexpected,"Man I hate I got involved with these women I choose to b a mother of my kids there selfish and bitter! Not at firstbut ya it came out!
"
509,509,SAE,expected,"He doesn't understand. He had a hard time staying in the league because he was so full of himself. He also struggled with a lack of defense.
"
510,509,AAE,unexpected,"he just don't get it! That cockiness is what made it hard for him to stick in league(aside from lack of defense)
"
510,510,SAE,expected,"There's more than 30 women in Houston right now that are finally understanding thatthey don't have 'it' anymore
"
511,510,AAE,unexpected,"Its 30+ chicks in Houston right now dats finally ""getting it"" in they head datthey aint got it anymore...
"
511,511,SAE,expected,"I guess I will get a haircut tomorrow... I'm the worst at going to do thisduring the winter time
"
512,511,AAE,unexpected,"I guess I will get a hair cut 2morrow...I'm the worse inthe winter time with this.
"
512,512,SAE,expected,"Is there no way to make a lot of money from this? Can you help me find a way? I have too much ammunition for this
"
513,512,AAE,unexpected,"So Rich Dollaz is a Nupe huh? Yall just gimme way 2much ammo for greek slander...
"
513,513,SAE,expected,"I have four automatic assault rifles, no nine millimetre handguns, so I'm ready and you are not. I'm considering attacking you, because you made a mistake insulting one ofmy favorite rappers. I'm serious
"
514,513,AAE,unexpected,"Got 4 choppas no 9's out I'm recess you timeout I'm playing wit it you fouled out be snapping one ofmy fave rappers no lie
"
514,514,SAE,expected,"So you're saying that if he cooks he is gay? There is no way to win, I'm confused. They are single because they are damaged goods.
"
515,514,AAE,unexpected,"den if he do cook he ghey? See no win...they confused B. Theysingle cuz they Damaged Goods.
"
515,515,SAE,expected,"Have you ever seen nonsense on the internet and wonder why people think they are so cool? I am probably a little harsh
"
516,515,AAE,unexpected,"U eva seen some ish someone Stunting on, on these internets and u think 2 ur self ""dats not fancy tho..""? I guess imma hater.
"
516,516,SAE,expected,"Damn!  Who runs to his ex every time something goes wrong in his current relationship?Where do they do that
"
517,516,AAE,unexpected,"Damn who runs to there ex mate everytime sumthin goes wrong in yo current relationshipwhere they do dat at
"
517,517,SAE,expected,"I'm living and learning that life is full of life lessons, and I will never go down this road again. Being an upstandingcitizen gets me no where
"
518,517,AAE,unexpected,"Im living and learning life is full of life lessons and i will neva go down this rode again being a goodnigga gets me no where
"
518,518,SAE,expected,"That would fall into HIS problem... I'm more-so wondering why women view it so negatively... othan than the pictures look funny
"
519,518,AAE,unexpected,"that would fall into HIS problem..I'm more so wondering why woman view it sonegativity...other than Pictures look funny
"
519,519,SAE,expected,"I don't know why her little self thinks she's so big and bad.  But I'll bring you back back down to reality baby
"
